rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
83,"spotify:track:3fmw8iIyQDS2L7nE6Wd0xG","Beéle","sobelove","5020 Records",16,77,21,"614185"
84,"spotify:track:0GmiGIxXDNrePrHBpijYDp","Yannc, Darkiel, Eladio Carrion, Brray, Myke Towers","Sigue Bailandome","Full Harmony",71,74,4,"613882"
85,"spotify:track:3tMftGMXTPbQlmjh4FzXpZ","Dani Fernández","Me has invitado a bailar","WM Spain",17,78,49,"612032"
86,"spotify:track:7eNwwoxDR8KVzNAuGvliAO","Omar Courtz, De La Rose, Haze","Kyoto","House of Haze",64,105,42,"604337"
87,"spotify:track:5jt25aFjW2kNoBqaEVaz5W","Mora, Feid","LA INOCENTE","Rimas Entertainment LLC",7,92,167,"599587"
88,"spotify:track:4jga8vZBHI77wVLjclVvQO","DYSTINCT, Morad","RS6","Avalon Music",46,87,12,"599511"
89,"spotify:track:06s3QtMJVXw1AJX3UfvZG1","Anuel AA, Bad Bunny","Hasta Que Dios Diga","2020 Real Hasta La Muerte, LLC",2,96,124,"596651"
90,"spotify:track:76GPCCO2Qy5d68vSpAcliC","Bryant Myers, Clarent","Killa","Rimas Entertainment LLC.",19,72,15,"592925"
91,"spotify:track:0G2zPzWqVjR68iNPmx2TBe","Mora, Bad Bunny, Sech","Volando - Remix","Rimas Entertainment LLC",3,90,124,"592441"
92,"spotify:track:5FLzweTtgQurkLPs0E7uEO","Danny Ocean, Sech","Priti","Atlantic Records",15,91,19,"590570"
93,"spotify:track:7bywjHOc0wSjGGbj04XbVi","Feid, ATL Jacob","LUNA","UMLE - Latino",2,99,87,"589381"
94,"spotify:track:5q2JbCNi4FcnglgPfxcV65","Anuel AA, Daddy Yankee, Zion & Lennox, Farruko, Wisin","Sola (Remix)","Spiff TV, LLC / Real Hasta La Muerte, Inc.",12,94,114,"586009"
95,"spotify:track:5H1sKFMzDeMtXwND3V6hRY","BLACKPINK","JUMP","YG Entertainment",50,68,3,"580827"
96,"spotify:track:5dDlknAL9imbXXl7uG7oqe","Omar Courtz","⁠LUCES DE COLORES","Mr.305 Records / Rimas Entertainment LLC.",77,84,22,"578705"
97,"spotify:track:3xiNRrrVROKlHrflHGNTfG","Fito y Fitipaldis","Antes de que cuente diez","WM Spain",97,108,15,"569067"
98,"spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c","ROSÉ, Bruno Mars","APT.","Atlantic Records",23,102,41,"567298"
99,"spotify:track:64zQbQTwu4ppBEfWyhst9t","KAROL G","Papasito","Bichota/Interscope Records",43,83,6,"560808"
100,"spotify:track:0eVborSuxUeSg0meWYd9dZ","Fito y Fitipaldis","Soldadito marinero","DRO/EastWest Spain",87,107,365,"560803"
101,"spotify:track:3KZCP2StVGdWkOKyRZNWA4","Plan B","Es un Secreto","Pina Records",41,119,113,"557959"
102,"spotify:track:67MBhIes3QKhQDuZWKHKBw","Fer Ariza, Nacho","LOVE PA TI NO HAY","FER ARIZA",102,110,2,"546929"
103,"spotify:track:6VfL3MEuYeJbDlD8m011HR","Beéle","quédate","5020 Records",74,95,10,"543189"
104,"spotify:track:2aqRWpP49Gux9UnTtMQBtu","Gonzy, SAIKO, Arcángel","X'CLUSIVO (REMIX)","Visonare aka Gonzy",1,111,74,"540702"
105,"spotify:track:0l0vcZMU7AOeQmUIREoI2U","Rauw Alejandro, Bad Bunny","Qué Pasaría...","Sony Music Latin/Duars Entertainment",2,97,37,"538461"
106,"spotify:track:0fMjldiEpgjbWQ4bBQwVzH","Kapo","UWAIE","Sony Music Latin/La Industria",2,118,50,"536425"
107,"spotify:track:6C1RD7YQVvt3YQj0CmuTeu","Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz","Diles","Rimas Entertainment LLC",79,123,138,"535036"
108,"spotify:track:0qeIFEGRQqHoaJtLCl0U73","Myke Towers, benny blanco","DEGENERE 👑 (feat. benny blanco)","WEA Latina",1,120,41,"531484"
109,"spotify:track:2LL9GtxbrlGw5htbzQhd1h","Gonzy","FRIKI","Visonare aka Gonzy",8,113,67,"530994"
110,"spotify:track:1VB4sadHjFcFklHcZuoROi","Estopa","Como Camarón","Ariola",42,106,239,"530669"
111,"spotify:track:5wClFtt4loFWm19NudTgRS","Myke Towers","EXPECTATIVAS","WEA Latina",31,59,5,"530534"
112,"spotify:track:4gNyksmCmVAHJrFC1zIGqd","Camin, Kirrimode","BRASILEÑO","WM Spain",66,93,7,"529631"
113,"spotify:track:2J9B63FawlTaPdg4eH5X03","Beéle","Loco","Hear This Music",14,131,57,"527374"
114,"spotify:track:7so0lgd0zP2Sbgs2d7a1SZ","Lady Gaga, Bruno Mars","Die With A Smile","Interscope Records",26,117,50,"527113"
115,"spotify:track:482PEx8hfMHSsuGtHd960A","Kapo","OHNANA","Sony Music Latin/La Industria",2,116,57,"518345"
116,"spotify:track:0WLpPLoGEfUe2UBtvqWb9D","Aitana, Jay Wheeler","DUELE UN MONTÓN DESPEDIRME DE TI","Universal Music Spain S.L.",23,148,7,"517645"
117,"spotify:track:473FchgGiaKD5CsL7SOhJJ","Aitana","SEGUNDO INTENTO","Universal Music Spain S.L.",26,152,15,"515269"
118,"spotify:track:75hHR4TZqvB22EY0ntZfk1","Lucho RK, Quevedo","GUAYA","Lucho RK.",5,51,12,"514436"
119,"spotify:track:4MUrUT38U98olfnyzMBCzm","Bad Bunny","KLOuFRENS","Rimas Entertainment LLC.",12,112,30,"511544"
120,"spotify:track:2gzLHBLh9IWhswffneqHbl","Kapo, Myke Towers","ILY","Sony Music Latin/La Industria",21,115,20,"510449"
121,"spotify:track:2XbsqBrOdYjm0OLBEepID7","TINI, Beéle","Universidad","5020 Records",48,98,6,"509791"
